appid,game_name,concurrent_players,collected_at
578080,PUBG: Battlegrounds,87419,2025-12-31 00:35:28.622305
1172470,Apex Legends,43207,2025-12-31 00:35:28.622305
570,Dota 2,465926,2025-12-31 00:35:28.622305
1778820,TEKKEN 8,5276,2025-12-31 00:35:28.622305
271590,Grand Theft Auto V,69576,2025-12-31 00:45:32.011641
1811260,EA SPORTS FC™ 26,659,2025-12-31 00:45:32.011641
730,Counter-Strike 2,825770,2025-12-31 00:45:32.011641
578080,PUBG: Battlegrounds,87419,2025-12-31 00:45:32.011641
1172470,Apex Legends,43207,2025-12-31 00:45:32.011641
570,Dota 2,465926,2025-12-31 00:45:32.011641
1778820,TEKKEN 8,5298,2025-12-31 00:45:32.011641
271590,Grand Theft Auto V,66914,2025-12-31 00:55:34.662796
1811260,EA SPORTS FC™ 26,659,2025-12-31 00:55:34.662796
730,Counter-Strike 2,797987,2025-12-31 00:55:34.662796
578080,PUBG: Battlegrounds,89176,2025-12-31 00:55:34.662796
1172470,Apex Legends,44112,2025-12-31 00:55:34.662796
570,Dota 2,457403,2025-12-31 00:55:34.662796
1778820,TEKKEN 8,5298,2025-12-31 00:55:34.662796
271590,Grand Theft Auto V,66914,2025-12-31 01:05:37.734120
1811260,EA SPORTS FC™ 26,652,2025-12-31 01:05:37.734120
730,Counter-Strike 2,797987,2025-12-31 01:05:37.734120
578080,PUBG: Battlegrounds,89176,2025-12-31 01:05:37.734120
1172470,Apex Legends,44112,2025-12-31 01:05:37.734120
570,Dota 2,457403,2025-12-31 01:05:37.734120
1778820,TEKKEN 8,5338,2025-12-31 01:05:37.734120
271590,Grand Theft Auto V,65221,2025-12-31 01:15:40.400732
1811260,EA SPORTS FC™ 26,652,2025-12-31 01:15:40.400732
730,Counter-Strike 2,781528,2025-12-31 01:15:40.400732
578080,PUBG: Battlegrounds,92535,2025-12-31 01:15:40.400732
1172470,Apex Legends,45444,2025-12-31 01:15:40.400732
570,Dota 2,448013,2025-12-31 01:15:40.400732
1778820,TEKKEN 8,5417,2025-12-31 01:15:40.400732
271590,Grand Theft Auto V,65221,2025-12-31 01:25:43.569238
1811260,EA SPORTS FC™ 26,613,2025-12-31 01:25:43.569238
730,Counter-Strike 2,781528,2025-12-31 01:25:43.569238
578080,PUBG: Battlegrounds,92535,2025-12-31 01:25:43.569238
1172470,Apex Legends,45444,2025-12-31 01:25:43.569238
570,Dota 2,448013,2025-12-31 01:25:43.569238
1778820,TEKKEN 8,5417,2025-12-31 01:25:43.569238
271590,Grand Theft Auto V,63816,2025-12-31 01:35:46.431148
1811260,EA SPORTS FC™ 26,613,2025-12-31 01:35:46.431148
730,Counter-Strike 2,771156,2025-12-31 01:35:46.431148
578080,PUBG: Battlegrounds,98263,2025-12-31 01:35:46.431148
1172470,Apex Legends,47070,2025-12-31 01:35:46.431148
